Date,VOO,SPY
10/24/2014,180.080002,196.429993
10/27/2014,179.850006,196.160004
10/28/2014,181.919998,198.410004
10/29/2014,181.710007,198.110001
10/30/2014,182.860001,199.380005
10/31/2014,184.929993,201.660004
11/3/2014,185.039993,201.770004
11/4/2014,184.380005,201.070007
11/5/2014,185.589996,202.339996
11/6/2014,186.339996,203.149994
11/7/2014,186.5,203.339996
11/10/2014,187.059998,203.979996
11/11/2014,187.240005,204.179993
11/12/2014,187.089996,203.960007
11/13/2014,187.259995,204.190002
11/14/2014,187.330002,204.240005
11/17/2014,187.429993,204.369995
11/18/2014,188.509995,205.550003
11/19/2014,188.169998,205.220001
11/20/2014,188.509995,205.580002
11/21/2014,189.570007,206.679993
11/24/2014,190.059998,207.259995
11/25/2014,190,207.110001
11/26/2014,190.440002,207.639999
11/28/2014,190.029999,207.199997
12/1/2014,188.729996,205.759995
12/2/2014,189.919998,207.089996
12/3/2014,190.649994,207.889999
12/4/2014,190.460007,207.660004
12/5/2014,190.800003,208
12/8/2014,189.5,206.610001
12/9/2014,189.350006,206.470001
12/10/2014,186.380005,203.160004
12/11/2014,187.25,204.190002
12/12/2014,184.210007,200.889999
12/15/2014,182.929993,199.509995
12/16/2014,181.520004,197.910004
12/17/2014,185.179993,201.789993
12/18/2014,188.550003,206.779999
12/19/2014,189.419998,206.520004
12/22/2014,190.259995,207.470001
12/23/2014,190.550003,207.75
12/24/2014,190.529999,207.770004
12/26/2014,191.149994,208.440002
12/29/2014,191.419998,208.720001
12/30/2014,190.380005,207.600006
12/31/2014,188.399994,205.539993
1/2/2015,188.399994,205.429993
1/5/2015,185.089996,201.720001
1/6/2015,183.270004,199.820007
1/7/2015,185.559998,202.309998
1/8/2015,188.820007,205.899994
1/9/2015,187.229996,204.25
1/12/2015,185.839996,202.649994
1/13/2015,185.350006,202.080002
1/14/2015,184.259995,200.860001
1/15/2015,182.539993,199.020004
1/16/2015,184.800003,201.630005
1/20/2015,185.259995,202.059998
1/21/2015,186.229996,203.080002
1/22/2015,189.080002,206.100006
1/23/2015,188.039993,204.970001
1/26/2015,188.410004,205.449997
1/27/2015,185.940002,202.740005
1/28/2015,183.490005,200.139999
1/29/2015,185.270004,201.990005
1/30/2015,182.990005,199.449997
2/2/2015,185.089996,201.919998
2/3/2015,187.789993,204.839996
2/4/2015,187.149994,204.059998
2/5/2015,189.050003,206.119995
2/6/2015,188.520004,205.550003
2/9/2015,187.660004,204.630005
2/10/2015,189.660004,206.809998
2/11/2015,189.789993,206.929993
2/12/2015,191.550003,208.919998
2/13/2015,192.389999,209.779999
2/17/2015,192.699997,210.110001
2/18/2015,192.740005,210.130005
2/19/2015,192.610001,209.979996
2/20/2015,193.779999,211.240005
2/23/2015,193.729996,211.210007
2/24/2015,194.300003,211.809998
2/25/2015,194.089996,211.630005
2/26/2015,193.869995,211.380005
2/27/2015,193.199997,210.660004
3/2/2015,194.470001,211.990005
3/3/2015,193.639999,211.119995
3/4/2015,192.830002,210.229996
3/5/2015,193.039993,210.460007
3/6/2015,190.309998,207.5
3/9/2015,191.119995,208.360001
3/10/2015,187.979996,204.979996
3/11/2015,187.539993,204.5
3/12/2015,189.960007,207.100006
3/13/2015,188.800003,205.830002
3/16/2015,191.380005,208.580002
3/17/2015,190.729996,207.960007
