prez,nom
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.3
0.2,0.32
0.2,0.32
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.19,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.31
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.19,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.3
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.2,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
0.21,0.32
